Station,Quarter,Alt. name,Station_Flow_Rank,Staff #,Station_Duration,Staff_Tenure_Avg(as of station end date),Staff_Tenure_Agg( as of end of station duration),IRF_forms,x1.1_1.3,x2.1_2.5,IRF_Com,VIF_forms,VIF_forms_unique,x1.7, x1.8, x1.9,x1.10,x1.12,x1.15,x1.16,x2.2,VIF_Com,Average_VIF_com_INDV,Average Min Value,AVERAGE using Max
Bhadrapur,1,,3,8,4.9,5.41,55.55,9,1,0.777777778,0.89,8,6,1,0.875,1,0.875,1,1,0.875,1,0.953125,0.9375,0.9375,0.9375
Bhadrapur,2,,3,8,5.15,5.66,55.8,20,0.9,0.85,0.88,16,12,1,1,1,1,1,1,0.9375,1,0.9921875,0.989583333,0.989583333,0.989583333
Bhadrapur,3,,3,8,5.4,5.91,56.05,11,0.636363636,0.636363636,0.64,10,8,1,1,1,1,1,1,0.8,1,0.975,0.96875,0.96875,0.96875
Bhadrapur,4,,3,8,5.65,6.16,56.3,9,1,0.888888889,0.94,10,7,1,1,1,1,1,1,1,1,1,0.982142857,0.982142857,0.982142857
Bhadrapur,5,,3,8,5.9,6.41,56.55,15,0.8,0.733333333,0.77,11,8,1,0.909090909,1,1,1,0.909090909,1,1,0.977272727,0.96875,0.96875,0.96875
Bhadrapur,6,,3,8,6.15,6.66,56.8,17,1,0.824,0.91,14,7,0.928571429,0.785714286,1,1,1,1,1,1,0.964285714,0.967,0.953,0.982
Bhadrapur,7,,3,8,6.4,6.91,57.05,14,1,0.929,0.96,13,10,0.846153846,1,0.923076923,1,1,1,0.923076923,1,0.961538462,0.966,0.95,0.975
Bhadrapur,8,,3,8,6.65,7.16,57.3,10,0.9,1,0.95,7,7,1,1,1,1,1,1,1,1,1,1,1,1
Bhairawa,1,,2,9.33,4.17,4.97,52.05,,0.5,0.8,0.65,34,20,1,0.882352941,1,0.941176471,0.970588235,1,1,1,0.974264706,0.969375,0.95,0.98125
Bhairawa,2,,2,9,4.42,5.22,52.3,33,0.393939394,0.818181818,0.61,37,31,1,0.972972973,0.945945946,0.945945946,0.945945946,1,0.941176471,1,0.96899841,0.971774194,0.971774194,0.971774194
Bhairawa,3,,2,9,4.67,5.47,52.55,22,0.227272727,0.7727,0.5,29,22,1,0.931034483,1,0.965517241,0.965517241,1,1,1,0.982758621,0.985795455,0.977272727,0.994318182
Bhairawa,4,,2,9,4.92,5.72,52.8,8,0.375,0.625,0.5,8,8,1,1,1,1,1,1,1,1,1,1,1,1
Bhairawa,5,,2,9,5.42,5.97,53.05,26,0.384615385,0.615384615,0.5,29,25,1,1,1,1,1,1,0.965517241,1,0.995689655,0.995,0.995,0.995
Bhairawa,6,,2,8,5.67,6.22,53.3,22,0.636,0.682,0.66,26,22,0.962,1,1,1,0.962,1,1,1,0.99,0.991,0.989,0.994
Bhairawa,7,,2,8,5.92,6.47,53.55,17,0.471,0.882,0.68,18,14,0.889,1,1,1,1,1,0.889,1,0.972,0.973,0.964,0.982
Bhairawa,8,,2,8,6.17,6.72,53.8,11,0.636,0.727,0.68,15,11,1,1,1,1,1,1,1,1,1,1,1,1
Biratnagar,1,,3,8.67,4.338,3.04,46.15,17,0.764705882,0.470588235,0.62,8,8,1,1,1,1,1,1,1,1,1,1,1,1
Biratnagar,2,,3,9,4.588,3.29,46.4,15,0.666666667,0.466666667,0.57,18,13,1,1,1,1,0.944444444,1,0.944444444,1,0.986111111,0.985576923,0.980769231,0.990384615
Biratnagar,3,,3,9,4.838,3.54,46.65,18,0.888888889,0.277777778,0.58,23,18,1,1,1,1,1,0.956521739,0.956521739,1,0.989130435,0.986111111,0.986111111,0.986111111
Biratnagar,4,,3,9,5.088,3.79,46.9,23,0.47826087,0.434782609,0.46,30,21,0.966666667,1,1,1,0.966666667,1,0.933333333,1,0.983333333,0.982142857,0.976190476,0.988095238
Biratnagar,5,,3,9,5.338,4.04,47.15,18,0.666666667,0.5,0.58,25,17,1,1,1,1,1,1,0.92,1,0.99,0.993872549,0.985294118,1
Biratnagar,6,,3,11.67,5.588,4.29,47.4,14,0.714,0.571,0.64,20,15,0.95,0.95,0.9,1,0.9,1,0.95,1,0.956,0.954,0.942,0.967
Biratnagar,7,,3,9.67,5.838,4.54,47.65,27,0.926,0.704,0.82,28,22,0.964,1,1,1,1,0.964,1,1,0.991,0.991,0.989,0.994
Biratnagar,8,,3,9,6.088,4.79,47.9,18,1,0.778,0.89,19,14,1,1,0.947,1,0.947,0.895,0.947,1,0.967,0.975,0.955,0.991
Kakarvitta,1,,3,9,3.095,2.4,39.75,20,1,0.95,0.98,27,17,0.962962963,0.962962963,1,1,1,1,0.962962963,1,0.986111111,0.977941176,0.977941176,0.977941176
Kakarvitta,2,,3,9.67,4.155,2.65,40,30,1,1,1,39,26,1,1,1,1,1,0.974358974,1,1,0.996794872,0.998397436,0.995192308,1
Kakarvitta,3,,3,10,4.405,2.9,40.25,21,0.904761905,0.952380952,0.93,32,17,1,1,1,1,1,0.9375,1,1,0.9921875,0.993872549,0.985294118,1
Kakarvitta,4,,3,10,4.655,3.15,40.5,26,0.961538462,0.434782609,0.7,32,18,1,1,1,1,0.96875,1,0.96875,1,0.9921875,0.996296296,0.986111111,1
Kakarvitta,5,,3,10,4.905,3.4,40.75,29,0.827586207,0.896551724,0.86,40,23,1,0.95,0.975,0.95,0.95,0.975,0.975,1,0.971875,0.979891304,0.951086957,0.989130435
Kakarvitta,6,,3,10,5.155,3.65,41,25,0.72,0.92,0.82,20,15,1,1,1,1,1,1,0.95,1,0.994,0.997,0.992,1
Kakarvitta,7,,3,10,5.405,3.9,41.25,34,0.794,0.941,0.87,52,28,0.885,0.981,1,1,1,0.981,0.962,1,0.976,0.978,0.96,0.987
Kakarvitta,8,,3,10,5.655,4.15,41.5,14,1,1,1,22,14,1,1,1,1,1,1,0.955,1,0.994,0.996,0.991,1
Lahan,1,,3,6.67,3.675,2.05,24.85,12,0.916666667,0.666666667,0.79,19,10,1,0.947368421,0.947368421,1,1,0.894736842,1,1,0.973684211,0.96875,0.9625,0.975
Lahan,2,,3,6.67,3.925,2.3,25.1,27,0.814814815,1,0.91,27,27,1,1,0.925925926,1,0.962962963,1,1,1,0.986111111,0.986111111,0.986111111,0.986111111
Lahan,3,,3,8,4.175,2.55,25.35,15,1,0.933333333,0.97,19,15,1,1,1,1,0.947368421,1,0.894736842,1,0.980263158,0.979166667,0.975,0.983333333
Lahan,4,,3,8,4.425,2.8,25.6,3,1,0.666666667,0.83,7,3,1,1,1,1,0.857142857,1,1,1,0.982142857,0.958333333,0.958333333,0.958333333
Lahan,5,,3,8,4.675,3.05,25.85,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lahan,6,,3,7.67,4.925,3.3,26.1,13,0.769,0.692,0.73,17,13,0.941,0.882,0.941,1,1,1,1,1,0.971,0.976,0.962,0.99
Lahan,7,,3,7,5.175,3.55,26.35,8,1,0.75,0.88,9,8,0.889,0.889,1,1,1,1,1,1,0.972,0.969,0.969,0.969
Lahan,8,,3,7,5.425,3.8,26.6,4,1,0.5,0.75,4,4,1,1,1,1,1,1,1,1,1,1,1,1
Nepalgunj,1,,3,7,4.469,1.38,20.15,18,1,0.888888889,0.94,15,14,1,1,1,1,1,0.933333333,1,1,0.991666667,0.991071429,0.991071429,0.991071429
Nepalgunj,2,,3,7,4.719,1.63,20.4,21,0.761904762,0.80952381,0.79,23,20,0.956521739,1,1,1,1,1,0.956521739,1,0.989130435,0.990625,0.9875,0.99375
Nepalgunj,3,,3,6.33,4.969,1.88,20.65,9,1,0.888888889,0.94,9,8,1,0.888888889,1,1,1,1,0.888888889,1,0.972222222,0.96875,0.96875,0.96875
Nepalgunj,4,,3,6.67,5.219,2.13,20.9,13,0.846153846,0.692307692,0.77,21,10,0.952380952,1,1,1,1,0.952380952,1,1,0.988095238,0.983333333,0.975,0.9875
Nepalgunj,5,,3,7,5.469,2.38,21.15,10,0.8,0.6,0.7,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Nepalgunj,6,,3,7,5.719,2.63,21.4,9,1,0.889,0.94,4,3,1,1,1,1,1,1,0.75,1,0.969,1,0.958,0.958
Nepalgunj,7,,3,7,5.969,2.88,21.65,9,0.444,0.556,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nepalgunj,8,,3,7,6.219,3.13,21.9,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1
