Station,Quarters,CrossEffScore1
Bhadrapur,1,0.875573554
Bhadrapur,2,0.851928773
Bhadrapur,3,0.831280375
Bhadrapur,4,0.83243483
Bhadrapur,5,0.840277274
Bhadrapur,6,0.849715886
Bhadrapur,7,0.87103857
Bhadrapur,8,0.853749796
Bhadrapur,9,0.84333316
Bhadrapur,10,0.853964659
Bhadrapur,11,0.850570818
Bhadrapur,12,0.880160955
Bhadrapur,13,0.894192833
Bhairawa,1,0.981797307
Bhairawa,2,0.943401139
Bhairawa,3,0.921278117
Bhairawa,4,0.939370869
Bhairawa,5,0.940070271
Bhairawa,6,0.924266571
Bhairawa,7,0.939233966
Bhairawa,8,0.933672575
Bhairawa,9,0.899830382
Bhairawa,10,0.89711449
Bhairawa,11,0.87059654
Bhairawa,12,0.907192077
Bhairawa,13,0.921862062
Birgunj,1,0.932042125
Birgunj,2,0.912892446
Birgunj,3,0.922886427
Birgunj,4,0.919787475
Birgunj,5,0.920993139
Birgunj,6,0.937720142
Birgunj,7,0.911612137
Birgunj,8,0.897334962
Birgunj,9,0.899731483
Birgunj,10,0.919200257
Birgunj,11,0.897379222
Birgunj,12,0.918372453
Birgunj,13,0.913294757
Biratnagar,1,0.92445022
Biratnagar,2,0.926927929
Biratnagar,3,0.935563008
Biratnagar,4,0.936212875
Biratnagar,5,0.934000235
Biratnagar,6,0.933326175
Biratnagar,7,0.938943326
Biratnagar,8,0.910827062
Biratnagar,9,0.918955185
Biratnagar,10,0.919159832
Biratnagar,11,0.884201215
Biratnagar,12,0.90632791
Biratnagar,13,0.922777892
Karkarvitta,1,0.950908184
Karkarvitta,2,0.952581305
Karkarvitta,3,0.948371682
Karkarvitta,4,0.95454826
Karkarvitta,5,0.955042278
Karkarvitta,6,0.955222288
Karkarvitta,7,0.960805821
Karkarvitta,8,0.935566964
Karkarvitta,9,0.948708357
Karkarvitta,10,0.923195802
Karkarvitta,11,0.886363588
Karkarvitta,12,0.936379372
Karkarvitta,13,0.947308365
Nepalgunj,1,0.901378215
Nepalgunj,2,0.882590638
Nepalgunj,3,0.877275504
Nepalgunj,4,0.892658825
Nepalgunj,5,0.880728565
Nepalgunj,6,0.888181395
Nepalgunj,7,0.853851228
Nepalgunj,8,0.893275475
Nepalgunj,9,0.936341478
Nepalgunj,10,0.92707788
Nepalgunj,11,0.78583405
Nepalgunj,12,0.883965671
Nepalgunj,13,0.898030539
Mahendranagar,1,0.944108938
Mahendranagar,2,0.966402353
Mahendranagar,3,0.929035303
Mahendranagar,4,0.903767076
Mahendranagar,5,0.91129363
Mahendranagar,6,0.918684381
Mahendranagar,7,0.91146727
Mahendranagar,8,0.918479072
Mahendranagar,9,0.931107979
Mahendranagar,10,0.91250783
Mahendranagar,11,0.935019016
Mahendranagar,12,0.947855428
Mahendranagar,13,0.941130022
