Quarter,Station,Status
1,Bhadrapur,Always Not Efficient
2,Bhadrapur,Always Not Efficient
3,Bhadrapur,Always Not Efficient
4,Bhadrapur,Depends
5,Bhadrapur,Always Not Efficient
6,Bhadrapur,Always Not Efficient
7,Bhadrapur,Depends
8,Bhadrapur,Depends
1,Bhairawa,Always Efficient
2,Bhairawa,Depends
3,Bhairawa,Depends
4,Bhairawa,Depends
5,Bhairawa,Depends
6,Bhairawa,Always Efficient
7,Bhairawa,Always Efficient
8,Bhairawa,Always Efficient
1,Biratnagar,Depends
2,Biratnagar,Always Not Efficient
3,Biratnagar,Always Not Efficient
4,Biratnagar,Always Not Efficient
5,Biratnagar,Depends
6,Biratnagar,Always Not Efficient
7,Biratnagar,Always Not Efficient
8,Biratnagar,Depends
1,Kakarvitta,Always Efficient
2,Kakarvitta,Depends
3,Kakarvitta,Depends
4,Kakarvitta,Depends
5,Kakarvitta,Always Not Efficient
6,Kakarvitta,Depends
7,Kakarvitta,Always Efficient
8,Kakarvitta,Always Efficient
1,Lahan,Always Efficient
2,Lahan,Depends
3,Lahan,Depends
4,Lahan,Always Not Efficient
5,Lahan,Always Not Efficient
6,Lahan,Always Not Efficient
7,Lahan,Depends
8,Lahan,Depends
1,Nepalgunj,Depends
2,Nepalgunj,Depends
3,Nepalgunj,Depends
4,Nepalgunj,Depends
5,Nepalgunj,Depends
6,Nepalgunj,Depends
7,Nepalgunj,Depends
8,Nepalgunj,Depends
