"","Station","CrossEffScore1","CrossEffScore2","CrossEffScore3","CrossEffScore4","CrossEffScore5"
"1","Lahan Q2",0.942284127087925,0.943916387546902,0.947184749194197,0.947296162598534,0.941196758870869
"2","Kakarvitta Q2",0.932498723659352,0.953751516921242,0.939155119400461,0.938545281904263,0.932688505029839
"3","Kakarvitta Q1",0.921817501463809,0.913411412892102,0.924694514264263,0.925345371543038,0.916684996588945
"4","Bhairawa Q2",0.904637813769032,0.783365587274482,0.907455425184011,0.902556533515425,0.897628033920295
"5","Lahan Q3",0.902594631087856,0.881487629721703,0.9046885604826,0.901915710237016,0.901487476308013
"6","Bhairawa Q6",0.901502334295969,0.766702176731627,0.897247202152755,0.890622450686814,0.892354120850244
"7","Bhairawa Q1",0.898308154927628,0.763375464159504,0.89622294169092,0.877933083420587,0.894697322058843
"8","Kakarvitta Q7",0.89561658591145,0.869249123220964,0.90150238211795,0.8884451320605,0.899105738462279
"9","Nepalgunj Q1",0.894780417107139,0.854407716098554,0.897248955010172,0.895930297970134,0.892435362827416
"10","Kakarvitta Q3",0.893317742518157,0.840986448752769,0.899377449941263,0.89187106332717,0.894884341484583
"11","Lahan Q1",0.885613786671723,0.76222992206661,0.888353591441286,0.878744152736251,0.884320401464318
"12","Bhairawa Q8",0.884860169085345,0.71259024729681,0.877356091144614,0.87076830290916,0.870979295912261
"13","Kakarvitta Q5",0.879533958361127,0.827683460973995,0.889718070228614,0.868092293888176,0.887026372021781
"14","Kakarvitta Q8",0.876513290969111,0.835920739708848,0.877746938432054,0.873571535099561,0.874072392153091
"15","Nepalgunj Q2",0.87618790179591,0.757993740023026,0.881841414509141,0.87393179697999,0.876696977176576
"16","Bhairawa Q7",0.875632657985069,0.745385702456293,0.869390114098533,0.85833758949678,0.869768075733945
"17","Bhairawa Q5",0.874839671933808,0.62505703517922,0.873516171377881,0.862375099826991,0.862725358891304
"18","Nepalgunj Q3",0.868878395151013,0.81548329723044,0.866599985183982,0.865131276047174,0.863697823415349
"19","Bhadrapur Q2",0.868075967725562,0.784150133862341,0.868265697165866,0.864710751564601,0.862143363901976
"20","Bhairawa Q3",0.867968637974332,0.615072268320471,0.871614115786611,0.854519308479823,0.866019291998868
"21","Nepalgunj Q8",0.866555086233184,0.793642889824907,0.863077388704808,0.861072716844896,0.861017862339894
"22","Lahan Q7",0.865487142033388,0.769722089329516,0.86242981511073,0.859062443886879,0.857334773775233
"23","Kakarvitta Q6",0.86211591283369,0.745110244038616,0.866487797873755,0.857772489177289,0.859182809697866
"24","Bhadrapur Q4",0.861829029345378,0.772319563413927,0.849214340853523,0.846505215209272,0.844639017783785
"25","Nepalgunj Q4",0.860608817460065,0.706717214525387,0.860544345631193,0.847787566940305,0.856741525182058
"26","Biratnagar Q7",0.860318981357222,0.756736417057287,0.862445545923108,0.856330850768583,0.856133615785329
"27","Kakarvitta Q4",0.859815962857624,0.684929440772978,0.868969274912305,0.853791783078389,0.859495808387275
"28","Bhadrapur Q8",0.855355386854836,0.771907331060164,0.852444292803124,0.849360982164405,0.848778459216493
"29","Lahan Q8",0.852076601056677,0.635037182839255,0.851652538333355,0.8421216168721,0.843816177134758
"30","Lahan Q4",0.850051345593058,0.690720710575228,0.835259705345668,0.829771298451354,0.827428009446757
"31","Lahan Q6",0.847046184317961,0.67379882051547,0.85340740984777,0.835865756070718,0.854163171384108
"32","Nepalgunj Q6",0.846896058462234,0.783400404223175,0.866723020423633,0.835323481931668,0.834352830616905
"33","Biratnagar Q8",0.841573919115966,0.769947032097837,0.846934236825746,0.830584029336676,0.85175267720892
"34","Bhadrapur Q7",0.841080275253978,0.806375178775492,0.842090698014754,0.830567994903708,0.845141860945756
"35","Bhadrapur Q6",0.840503003953831,0.783085436870466,0.841366530133989,0.829835973855625,0.847437039702005
"36","Bhairawa Q4",0.837382250042134,0.509979465146644,0.836006175790784,0.821827059884244,0.824437848635428
"37","Nepalgunj Q5",0.829966330206017,0.596540291783772,0.830723496937414,0.819479743942437,0.822657118242247
"38","Biratnagar Q1",0.827369399402622,0.562386880765236,0.832976812807622,0.820196159750102,0.820629495946439
"39","Bhadrapur Q1",0.824876932310905,0.736841926200777,0.815491119905466,0.812707735305584,0.810267244569806
"40","Bhadrapur Q5",0.824311812073508,0.665171132784838,0.819064865640708,0.811894677668419,0.812233716900898
"41","Biratnagar Q3",0.821361999626788,0.552209776339949,0.825854252767449,0.812916180746269,0.813117118229957
"42","Biratnagar Q5",0.819958184807196,0.55173992304412,0.828404726461073,0.809504905808155,0.820113803749279
"43","Biratnagar Q2",0.811477107653833,0.526132550475224,0.817896972089078,0.80097349379895,0.808062431249922
"44","Biratnagar Q4",0.808434720570964,0.490779067750313,0.815464631687945,0.795651528437326,0.805094137291401
"45","Bhadrapur Q3",0.800319762066304,0.551737274617527,0.799108999182416,0.78729403578745,0.789389797921632
"46","Nepalgunj Q7",0.792133542023426,0.430316439656781,0.793752853878921,0.775526912665066,0.782611978534889
"47","Biratnagar Q6",0.775781776810494,0.539208057006522,0.7784426938254,0.759767801210969,0.775091955150976
